eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
White-eared Bulbul,Pycnonotus leucotis,whebul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,White-eared Bulbul,Pycnonotus leucotis
Himalayan Bulbul,Pycnonotus leucogenys,whcbul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,Yes,Himalayas,None,Resident,,,Himalayan Bulbul,Pycnonotus leucogenis
Yellow-throated Bulbul,Pycnonotus xantholaemus,yetbul1,Passeriformes,Pycnonotidae (Bulbuls),Vulnerable,Schedule-IV,,,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Southern Deccan Plateau,Scrub,Resident,,,Yellow-throated Bulbul,Pycnonotus xantholaemus
Flavescent Bulbul,Pycnonotus flavescens,flabul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,Flavescent Bulbul,Pycnonotus flavescens
White-browed Bulbul,Pycnonotus luteolus,whbbul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,,,White-browed Bulbul,Pycnonotus luteolus
White-throated Bulbul,Alophoixus flaveolus,whtbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,,,White-throated Bulbul,Alophoixus flaveolus
Gray-eyed Bulbul,Iole propinqua,gyebul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Tropical Forest,Resident,,1,Gray-eyed Bulbul,Iole propinqua
Cachar Bulbul,Iole cacharensis,cacbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Northern Myanmar Lowlands,Tropical Forest,Resident,,,Cachar Bulbul,Iole cacharensis
Yellow-browed Bulbul,Iole indica,yebbul3,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Western Ghats & Sri Lanka,Wooded Habitat,Resident,,,Yellow-browed Bulbul,Acritillas indica
Black Bulbul,Hypsipetes leucocephalus,blabul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Black Bulbul,Hypsipetes leucocephalus
Square-tailed Bulbul,Hypsipetes ganeesa,sqtbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Western Ghats & Sri Lanka,Wooded Habitat,Resident,,,Square-tailed Bulbul,Hypsipetes ganeesa
Nicobar Bulbul,Hypsipetes nicobariensis,nicbul2,Passeriformes,Pycnonotidae (Bulbuls),Near Threatened,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Nicobar Islands,Wooded Habitat,Resident,,,Nicobar Bulbul,Ixos nicobariensis
Ashy Bulbul,Hemixos flavala,ashbul1,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Wooded Habitat,Resident,,,Ashy Bulbul,Hemixos flavala
Mountain Bulbul,Ixos mcclellandii,moubul2,Passeriformes,Pycnonotidae (Bulbuls),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,,,Mountain Bulbul,Ixos mcclellandii
Wood Warbler,Phylloscopus sibilatrix,woowar,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Wood Warbler,Phylloscopus sibilatrix
Ashy-throated Warbler,Phylloscopus maculipennis,astwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Ashy-throated Warbler,Phylloscopus maculipennis
Buff-barred Warbler,Phylloscopus pulcher,bubwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Buff-barred Warbler,Phylloscopus pulcher
Yellow-browed Warbler,Phylloscopus inornatus,yebwar3,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Yellow-browed Warbler,Phylloscopus inornatus
Hume's Warbler,Phylloscopus humei,humwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Strong Increase,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant & Localized Summer Migrant,,,Hume's Warbler,Phylloscopus humei
Brooks's Leaf Warbler,Phylloscopus subviridis,brlwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,1,,Brooks's Leaf Warbler,Phylloscopus subviridis
Chinese Leaf Warbler,Phylloscopus yunnanensis,chilew1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Chinese Leaf Warbler,Phylloscopus yunnanensis
Lemon-rumped Warbler,Phylloscopus chloronotus,parwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Lemon-rumped Warbler,Phylloscopus chloronotus
Sichuan Leaf Warbler,Phylloscopus forresti,siclew1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Local Migrant,,1,Sichuan Leaf Warbler,Phylloscopus forresti
Tytler's Leaf Warbler,Phylloscopus tytleri,tylwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Near Threatened,Schedule-IV,,Appendix II,High,Data Deficient,Uncertain,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Local Migrant,1,,Tytler's Leaf Warbler,Phylloscopus tytleri
Sulphur-bellied Warbler,Phylloscopus griseolus,subwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Sulphur-bellied Warbler,Phylloscopus griseolus
Tickell's Leaf Warbler,Phylloscopus affinis,tilwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Tickell's Leaf Warbler,Phylloscopus affinis
Dusky Warbler,Phylloscopus fuscatus,duswar,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,,Dusky Warbler,Phylloscopus fuscatus
Smoky Warbler,Phylloscopus fuligiventer,smowar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,,,Smoky Warbler,Phylloscopus fuligiventer
Plain Leaf Warbler,Phylloscopus neglectus,pllwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Scrub,Winter Migrant,,1,Plain Leaf Warbler,Phylloscopus neglectus
Buff-throated Warbler,Phylloscopus subaffinis,butwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant & Localized Summer Migrant,,1,Buff-throated Warbler,Phylloscopus subaffinis
Willow Warbler,Phylloscopus trochilus,wlwwar,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Willow Warbler,Phylloscopus trochilus
Mountain Chiffchaff,Phylloscopus sindianus,mouchi2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Local Migrant,,,Mountain Chiffchaff,Phylloscopus sindianus
Common Chiffchaff,Phylloscopus collybita,comchi1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant,,,Common Chiffchaff,Phylloscopus collybita
White-spectacled Warbler,Phylloscopus intermedius,whswar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,White-spectacled Warbler,Phylloscopus intermedius
Gray-cheeked Warbler,Phylloscopus poliogenys,gycwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Grey-cheeked Warbler,Phylloscopus poliogenys
Green-crowned Warbler,Phylloscopus burkii,goswar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Summer Migrant & Localized Winter Migrant,,,Green-crowned Warbler,Phylloscopus burkii
Gray-crowned Warbler,Phylloscopus tephrocephalus,gycwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Summer Migrant,,,Grey-crowned Warbler,Phylloscopus tephrocephalus
Whistler's Warbler,Phylloscopus whistleri,whiwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Whistler's Warbler,Phylloscopus whistleri
Green Warbler,Phylloscopus nitidus,grnwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,,,,,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Green Warbler,Phylloscopus nitidus
Greenish Warbler,Phylloscopus trochiloides,grewar3,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant & Localized Summer Migrant,,,Greenish Warbler,Phylloscopus trochiloides
Two-barred Warbler,Phylloscopus plumbeitarsus,grewar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Uncertain,,1,Two-barred Warbler,Phylloscopus plumbeitarsus
Large-billed Leaf Warbler,Phylloscopus magnirostris,lblwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Winter Migrant & Localized Summer Migrant,,,Large-billed Leaf Warbler,Phylloscopus magnirostris
Pale-legged Leaf Warbler,Phylloscopus tenellipes,pllwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Uncertain,,1,Pale-legged Leaf Warbler,Phylloscopus tenellipes
Sakhalin Leaf Warbler,Phylloscopus borealoides,salwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Sakhalin Leaf Warbler,Phylloscopus borealoides
Arctic Warbler,Phylloscopus borealis,arcwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Arctic Warbler,Phylloscopus borealis
Chestnut-crowned Warbler,Phylloscopus castaniceps,chcwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Chestnut-crowned Warbler,Phylloscopus castaniceps
Yellow-vented Warbler,Phylloscopus cantator,yevwar1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,,,Yellow-vented Warbler,Phylloscopus cantator
Western Crowned Warbler,Phylloscopus occipitalis,weclew1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Local Migrant,,,Western Crowned Warbler,Phylloscopus occipitalis
Blyth's Leaf Warbler,Phylloscopus reguloides,blylew1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Blyth's Leaf Warbler,Phylloscopus reguloides
Claudia's Leaf Warbler,Phylloscopus claudiae,clalew1,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Claudia's Leaf Warbler,Phylloscopus claudiae
Gray-hooded Warbler,Phylloscopus xanthoschistos,gyhwar2,Passeriformes,Phylloscopidae (Leaf Warblers),Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Wooded Habitat,Resident & Altitudinal Migrant,,,Grey-hooded Warbler,Phylloscopus xanthoschistos
Pale-footed Bush Warbler,Urosphena pallidipes,pfbwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,1,,Pale-footed Bush Warbler,Urosphena pallidipes
Asian Stubtail,Urosphena squameiceps,asistu1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Uncertain,,1,Asian Stubtail,Urosphena squameiceps
Gray-bellied Tesia,Tesia cyaniventer,gybtes1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Grey-bellied Tesia,Tesia cyaniventer
Slaty-bellied Tesia,Tesia olivea,slbtes1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Slaty-bellied Tesia,Tesia olivea
Chestnut-crowned Bush Warbler,Cettia major,ccbwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Resident & Altitudinal Migrant,,,Chestnut-crowned Bush Warbler,Cettia major
Gray-sided Bush Warbler,Cettia brunnifrons,gysbuw1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,,,Grey-sided Bush Warbler,Cettia brunnifrons
Chestnut-headed Tesia,Cettia castaneocoronata,chhtes1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Chestnut-headed Tesia,Cettia castaneocoronata
Cetti's Warbler,Cettia cetti,cetwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,,1,Cetti's Warbler,Cettia cetti
Yellow-bellied Warbler,Abroscopus superciliaris,yebwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Yellow-bellied Warbler,Abroscopus superciliaris
Rufous-faced Warbler,Abroscopus albogularis,rufwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident & Altitudinal Migrant,,,Rufous-faced Warbler,Abroscopus albogularis
Black-faced Warbler,Abroscopus schisticeps,blfwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Black-faced Warbler,Abroscopus schisticeps
Mountain Tailorbird,Phyllergates cucullatus,moutai2,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,,,Mountain Tailorbird,Phyllergates cucullatus
Broad-billed Warbler,Tickellia hodgsoni,brbwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,,,Broad-billed Warbler,Tickellia hodgsoni
Manchurian Bush Warbler,Horornis canturians,manbuw1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Manchurian Bush Warbler,Horornis canturians
Brownish-flanked Bush Warbler,Horornis fortipes,bfbwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident & Altitudinal Migrant,,,Brownish-flanked Bush Warbler,Horornis fortipes
Hume's Bush Warbler,Horornis brunnescens,yebbuw2,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Temperate Forest,Resident & Altitudinal Migrant,,,Hume's Bush Warbler,Horornis brunnescens
Aberrant Bush Warbler,Horornis flavolivaceus,abbwar1,Passeriformes,Scotocercidae (Bush Warblers and Allies),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Aberrant Bush Warbler,Horornis flavolivaceus
White-browed Tit-Warbler,Leptopoecile sophiae,wbtwar1,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,White-browed Tit Warbler,Leptopoecile sophiae
Crested Tit-Warbler,Leptopoecile elegans,crtwar1,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Uncertain,,1,Crested Tit Warbler,Leptopoecile elegans
White-cheeked Tit,Aegithalos leucogenys,whctit1,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,Yes,Western Himalayas,Temperate Forest,Uncertain,,1,White-cheeked Tit,Aegithalos leucogenys
Black-throated Tit,Aegithalos concinnus,blttit2,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Black-throated Tit,Aegithalos concinnus
White-throated Tit,Aegithalos niveogularis,whttit1,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,Yes,Western Himalayas,Temperate Forest,Resident & Altitudinal Migrant,,,White-throated Tit,Aegithalos niveogularis
Black-browed Tit,Aegithalos iouschistos,bkbtit3,Passeriformes,Aegithalidae (Long-tailed Tits),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Black-browed Tit,Aegithalos iouschistos
Eurasian Blackcap,Sylvia atricapilla,blackc1,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Uncertain,,1,Eurasian Blackcap,Sylvia atricapilla
